,term,gene,term_short
264,HALLMARK HYPOXIA,STC2,HYPOXIA
265,HALLMARK HYPOXIA,ERRFI1,HYPOXIA
266,HALLMARK HYPOXIA,ENO3,HYPOXIA
267,HALLMARK HYPOXIA,PNRC1,HYPOXIA
268,HALLMARK HYPOXIA,HMOX1,HYPOXIA
269,HALLMARK HYPOXIA,PGF,HYPOXIA
270,HALLMARK HYPOXIA,GAPDHS,HYPOXIA
271,HALLMARK HYPOXIA,CHST2,HYPOXIA
272,HALLMARK HYPOXIA,TMEM45A,HYPOXIA
273,HALLMARK HYPOXIA,BCAN,HYPOXIA
274,HALLMARK HYPOXIA,ATF3,HYPOXIA
275,HALLMARK HYPOXIA,CAV1,HYPOXIA
276,HALLMARK HYPOXIA,AMPD3,HYPOXIA
277,HALLMARK HYPOXIA,GPC3,HYPOXIA
278,HALLMARK HYPOXIA,NDST1,HYPOXIA
279,HALLMARK HYPOXIA,IRS2,HYPOXIA
280,HALLMARK HYPOXIA,SAP30,HYPOXIA
281,HALLMARK HYPOXIA,GAA,HYPOXIA
282,HALLMARK HYPOXIA,SDC4,HYPOXIA
283,HALLMARK HYPOXIA,STBD1,HYPOXIA
284,HALLMARK HYPOXIA,IER3,HYPOXIA
285,HALLMARK HYPOXIA,PKLR,HYPOXIA
286,HALLMARK HYPOXIA,IGFBP1,HYPOXIA
287,HALLMARK HYPOXIA,PLAUR,HYPOXIA
288,HALLMARK HYPOXIA,CAVIN3,HYPOXIA
289,HALLMARK HYPOXIA,CCN5,HYPOXIA
290,HALLMARK HYPOXIA,LARGE1,HYPOXIA
291,HALLMARK HYPOXIA,NOCT,HYPOXIA
292,HALLMARK HYPOXIA,S100A4,HYPOXIA
293,HALLMARK HYPOXIA,RRAGD,HYPOXIA
294,HALLMARK HYPOXIA,ZFP36,HYPOXIA
295,HALLMARK HYPOXIA,EGFR,HYPOXIA
296,HALLMARK HYPOXIA,EDN2,HYPOXIA
297,HALLMARK HYPOXIA,IDS,HYPOXIA
298,HALLMARK HYPOXIA,CDKN1A,HYPOXIA
299,HALLMARK HYPOXIA,RORA,HYPOXIA
300,HALLMARK HYPOXIA,DUSP1,HYPOXIA
301,HALLMARK HYPOXIA,MIF,HYPOXIA
302,HALLMARK HYPOXIA,PPP1R3C,HYPOXIA
303,HALLMARK HYPOXIA,DPYSL4,HYPOXIA
304,HALLMARK HYPOXIA,KDELR3,HYPOXIA
305,HALLMARK HYPOXIA,DTNA,HYPOXIA
306,HALLMARK HYPOXIA,ADORA2B,HYPOXIA
307,HALLMARK HYPOXIA,HS3ST1,HYPOXIA
308,HALLMARK HYPOXIA,CAVIN1,HYPOXIA
309,HALLMARK HYPOXIA,NR3C1,HYPOXIA
310,HALLMARK HYPOXIA,KLF6,HYPOXIA
311,HALLMARK HYPOXIA,GPC4,HYPOXIA
312,HALLMARK HYPOXIA,CCN1,HYPOXIA
313,HALLMARK HYPOXIA,TNFAIP3,HYPOXIA
314,HALLMARK HYPOXIA,CA12,HYPOXIA
315,HALLMARK HYPOXIA,HEXA,HYPOXIA
316,HALLMARK HYPOXIA,BGN,HYPOXIA
317,HALLMARK HYPOXIA,PPP1R15A,HYPOXIA
318,HALLMARK HYPOXIA,PGM2,HYPOXIA
319,HALLMARK HYPOXIA,PIM1,HYPOXIA
320,HALLMARK HYPOXIA,PRDX5,HYPOXIA
321,HALLMARK HYPOXIA,NAGK,HYPOXIA
322,HALLMARK HYPOXIA,CDKN1B,HYPOXIA
323,HALLMARK HYPOXIA,BRS3,HYPOXIA
324,HALLMARK HYPOXIA,TKTL1,HYPOXIA
325,HALLMARK HYPOXIA,MT1E,HYPOXIA
326,HALLMARK HYPOXIA,ATP7A,HYPOXIA
327,HALLMARK HYPOXIA,MT2A,HYPOXIA
328,HALLMARK HYPOXIA,SDC3,HYPOXIA
329,HALLMARK HYPOXIA,TIPARP,HYPOXIA
330,HALLMARK HYPOXIA,PKP1,HYPOXIA
331,HALLMARK HYPOXIA,ANXA2,HYPOXIA
332,HALLMARK HYPOXIA,PGAM2,HYPOXIA
333,HALLMARK HYPOXIA,DDIT3,HYPOXIA
334,HALLMARK HYPOXIA,PRKCA,HYPOXIA
335,HALLMARK HYPOXIA,SLC37A4,HYPOXIA
336,HALLMARK HYPOXIA,CXCR4,HYPOXIA
337,HALLMARK HYPOXIA,EFNA3,HYPOXIA
338,HALLMARK HYPOXIA,CP,HYPOXIA
339,HALLMARK HYPOXIA,KLF7,HYPOXIA
340,HALLMARK HYPOXIA,CCN2,HYPOXIA
341,HALLMARK HYPOXIA,CHST3,HYPOXIA
342,HALLMARK HYPOXIA,TPD52,HYPOXIA
343,HALLMARK HYPOXIA,LXN,HYPOXIA
344,HALLMARK HYPOXIA,B4GALNT2,HYPOXIA
345,HALLMARK HYPOXIA,PPARGC1A,HYPOXIA
346,HALLMARK HYPOXIA,BCL2,HYPOXIA
347,HALLMARK HYPOXIA,GCNT2,HYPOXIA
348,HALLMARK HYPOXIA,HAS1,HYPOXIA
349,HALLMARK HYPOXIA,KLHL24,HYPOXIA
350,HALLMARK HYPOXIA,SCARB1,HYPOXIA
351,HALLMARK HYPOXIA,SLC25A1,HYPOXIA
352,HALLMARK HYPOXIA,SDC2,HYPOXIA
353,HALLMARK HYPOXIA,CASP6,HYPOXIA
354,HALLMARK HYPOXIA,VHL,HYPOXIA
355,HALLMARK HYPOXIA,FOXO3,HYPOXIA
356,HALLMARK HYPOXIA,PDGFB,HYPOXIA
357,HALLMARK HYPOXIA,B3GALT6,HYPOXIA
358,HALLMARK HYPOXIA,SLC2A5,HYPOXIA
359,HALLMARK HYPOXIA,SRPX,HYPOXIA
360,HALLMARK HYPOXIA,EFNA1,HYPOXIA
361,HALLMARK HYPOXIA,GLRX,HYPOXIA
362,HALLMARK HYPOXIA,ACKR3,HYPOXIA
363,HALLMARK HYPOXIA,PAM,HYPOXIA
364,HALLMARK HYPOXIA,TGFBI,HYPOXIA
365,HALLMARK HYPOXIA,DCN,HYPOXIA
366,HALLMARK HYPOXIA,SIAH2,HYPOXIA
367,HALLMARK HYPOXIA,PLAC8,HYPOXIA
368,HALLMARK HYPOXIA,FBP1,HYPOXIA
369,HALLMARK HYPOXIA,TPST2,HYPOXIA
370,HALLMARK HYPOXIA,PHKG1,HYPOXIA
371,HALLMARK HYPOXIA,MYH9,HYPOXIA
372,HALLMARK HYPOXIA,CDKN1C,HYPOXIA
373,HALLMARK HYPOXIA,GRHPR,HYPOXIA
374,HALLMARK HYPOXIA,PCK1,HYPOXIA
375,HALLMARK HYPOXIA,INHA,HYPOXIA
376,HALLMARK HYPOXIA,HSPA5,HYPOXIA
377,HALLMARK HYPOXIA,NDST2,HYPOXIA
378,HALLMARK HYPOXIA,NEDD4L,HYPOXIA
379,HALLMARK HYPOXIA,TPBG,HYPOXIA
380,HALLMARK HYPOXIA,XPNPEP1,HYPOXIA
381,HALLMARK HYPOXIA,IL6,HYPOXIA
382,HALLMARK HYPOXIA,SLC6A6,HYPOXIA
383,HALLMARK HYPOXIA,MAP3K1,HYPOXIA
384,HALLMARK HYPOXIA,LDHC,HYPOXIA
385,HALLMARK HYPOXIA,AKAP12,HYPOXIA
386,HALLMARK HYPOXIA,TES,HYPOXIA
387,HALLMARK HYPOXIA,KIF5A,HYPOXIA
388,HALLMARK HYPOXIA,LALBA,HYPOXIA
389,HALLMARK HYPOXIA,COL5A1,HYPOXIA
390,HALLMARK HYPOXIA,GPC1,HYPOXIA
391,HALLMARK HYPOXIA,HDLBP,HYPOXIA
392,HALLMARK HYPOXIA,ILVBL,HYPOXIA
393,HALLMARK HYPOXIA,NCAN,HYPOXIA
394,HALLMARK HYPOXIA,TGM2,HYPOXIA
395,HALLMARK HYPOXIA,ETS1,HYPOXIA
396,HALLMARK HYPOXIA,HOXB9,HYPOXIA
397,HALLMARK HYPOXIA,SELENBP1,HYPOXIA
398,HALLMARK HYPOXIA,FOSL2,HYPOXIA
399,HALLMARK HYPOXIA,SULT2B1,HYPOXIA
400,HALLMARK HYPOXIA,TGFB3,HYPOXIA
1600,"HALLMARK ESTROGEN RESPONSE
 EARLY",GREB1,ESTROGEN RESPONSE EARLY
1601,"HALLMARK ESTROGEN RESPONSE
 EARLY",CA12,ESTROGEN RESPONSE EARLY
1602,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC9A3R1,ESTROGEN RESPONSE EARLY
1603,"HALLMARK ESTROGEN RESPONSE
 EARLY",MYB,ESTROGEN RESPONSE EARLY
1604,"HALLMARK ESTROGEN RESPONSE
 EARLY",ANXA9,ESTROGEN RESPONSE EARLY
1605,"HALLMARK ESTROGEN RESPONSE
 EARLY",IGFBP4,ESTROGEN RESPONSE EARLY
1606,"HALLMARK ESTROGEN RESPONSE
 EARLY",SYBU,ESTROGEN RESPONSE EARLY
1607,"HALLMARK ESTROGEN RESPONSE
 EARLY",NPY1R,ESTROGEN RESPONSE EARLY
1608,"HALLMARK ESTROGEN RESPONSE
 EARLY",PDZK1,ESTROGEN RESPONSE EARLY
1609,"HALLMARK ESTROGEN RESPONSE
 EARLY",NRIP1,ESTROGEN RESPONSE EARLY
1610,"HALLMARK ESTROGEN RESPONSE
 EARLY",MLPH,ESTROGEN RESPONSE EARLY
1611,"HALLMARK ESTROGEN RESPONSE
 EARLY",HSPB8,ESTROGEN RESPONSE EARLY
1612,"HALLMARK ESTROGEN RESPONSE
 EARLY",EGR3,ESTROGEN RESPONSE EARLY
1613,"HALLMARK ESTROGEN RESPONSE
 EARLY",KRT19,ESTROGEN RESPONSE EARLY
1614,"HALLMARK ESTROGEN RESPONSE
 EARLY",LRIG1,ESTROGEN RESPONSE EARLY
1615,"HALLMARK ESTROGEN RESPONSE
 EARLY",KDM4B,ESTROGEN RESPONSE EARLY
1616,"HALLMARK ESTROGEN RESPONSE
 EARLY",PGR,ESTROGEN RESPONSE EARLY
1617,"HALLMARK ESTROGEN RESPONSE
 EARLY",RHOBTB3,ESTROGEN RESPONSE EARLY
1618,"HALLMARK ESTROGEN RESPONSE
 EARLY",TPD52L1,ESTROGEN RESPONSE EARLY
1619,"HALLMARK ESTROGEN RESPONSE
 EARLY",ELOVL2,ESTROGEN RESPONSE EARLY
1620,"HALLMARK ESTROGEN RESPONSE
 EARLY",RET,ESTROGEN RESPONSE EARLY
1621,"HALLMARK ESTROGEN RESPONSE
 EARLY",TPBG,ESTROGEN RESPONSE EARLY
1622,"HALLMARK ESTROGEN RESPONSE
 EARLY",TFF1,ESTROGEN RESPONSE EARLY
1623,"HALLMARK ESTROGEN RESPONSE
 EARLY",MAPT,ESTROGEN RESPONSE EARLY
1624,"HALLMARK ESTROGEN RESPONSE
 EARLY",SCNN1A,ESTROGEN RESPONSE EARLY
1625,"HALLMARK ESTROGEN RESPONSE
 EARLY",ABAT,ESTROGEN RESPONSE EARLY
1626,"HALLMARK ESTROGEN RESPONSE
 EARLY",FLNB,ESTROGEN RESPONSE EARLY
1627,"HALLMARK ESTROGEN RESPONSE
 EARLY",XBP1,ESTROGEN RESPONSE EARLY
1628,"HALLMARK ESTROGEN RESPONSE
 EARLY",CELSR2,ESTROGEN RESPONSE EARLY
1629,"HALLMARK ESTROGEN RESPONSE
 EARLY",RAB31,ESTROGEN RESPONSE EARLY
1630,"HALLMARK ESTROGEN RESPONSE
 EARLY",MYBL1,ESTROGEN RESPONSE EARLY
1631,"HALLMARK ESTROGEN RESPONSE
 EARLY",MREG,ESTROGEN RESPONSE EARLY
1632,"HALLMARK ESTROGEN RESPONSE
 EARLY",FAM102A,ESTROGEN RESPONSE EARLY
1633,"HALLMARK ESTROGEN RESPONSE
 EARLY",MSMB,ESTROGEN RESPONSE EARLY
1634,"HALLMARK ESTROGEN RESPONSE
 EARLY",STC2,ESTROGEN RESPONSE EARLY
1635,"HALLMARK ESTROGEN RESPONSE
 EARLY",RETREG1,ESTROGEN RESPONSE EARLY
1636,"HALLMARK ESTROGEN RESPONSE
 EARLY",SIAH2,ESTROGEN RESPONSE EARLY
1637,"HALLMARK ESTROGEN RESPONSE
 EARLY",ZNF185,ESTROGEN RESPONSE EARLY
1638,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC19A2,ESTROGEN RESPONSE EARLY
1639,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC1A4,ESTROGEN RESPONSE EARLY
1640,"HALLMARK ESTROGEN RESPONSE
 EARLY",FHL2,ESTROGEN RESPONSE EARLY
1641,"HALLMARK ESTROGEN RESPONSE
 EARLY",BCL2,ESTROGEN RESPONSE EARLY
1642,"HALLMARK ESTROGEN RESPONSE
 EARLY",PMAIP1,ESTROGEN RESPONSE EARLY
1643,"HALLMARK ESTROGEN RESPONSE
 EARLY",AREG,ESTROGEN RESPONSE EARLY
1644,"HALLMARK ESTROGEN RESPONSE
 EARLY",OVOL2,ESTROGEN RESPONSE EARLY
1645,"HALLMARK ESTROGEN RESPONSE
 EARLY",TSKU,ESTROGEN RESPONSE EARLY
1646,"HALLMARK ESTROGEN RESPONSE
 EARLY",ADCY9,ESTROGEN RESPONSE EARLY
1647,"HALLMARK ESTROGEN RESPONSE
 EARLY",RASGRP1,ESTROGEN RESPONSE EARLY
1648,"HALLMARK ESTROGEN RESPONSE
 EARLY",MUC1,ESTROGEN RESPONSE EARLY
1649,"HALLMARK ESTROGEN RESPONSE
 EARLY",KAZN,ESTROGEN RESPONSE EARLY
1650,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC27A2,ESTROGEN RESPONSE EARLY
1651,"HALLMARK ESTROGEN RESPONSE
 EARLY",FKBP4,ESTROGEN RESPONSE EARLY
1652,"HALLMARK ESTROGEN RESPONSE
 EARLY",CXCL12,ESTROGEN RESPONSE EARLY
1653,"HALLMARK ESTROGEN RESPONSE
 EARLY",TMPRSS3,ESTROGEN RESPONSE EARLY
1654,"HALLMARK ESTROGEN RESPONSE
 EARLY",RARA,ESTROGEN RESPONSE EARLY
1655,"HALLMARK ESTROGEN RESPONSE
 EARLY",IL17RB,ESTROGEN RESPONSE EARLY
1656,"HALLMARK ESTROGEN RESPONSE
 EARLY",CBFA2T3,ESTROGEN RESPONSE EARLY
1657,"HALLMARK ESTROGEN RESPONSE
 EARLY",TFF3,ESTROGEN RESPONSE EARLY
1658,"HALLMARK ESTROGEN RESPONSE
 EARLY",UGCG,ESTROGEN RESPONSE EARLY
1659,"HALLMARK ESTROGEN RESPONSE
 EARLY",CCND1,ESTROGEN RESPONSE EARLY
1660,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC22A5,ESTROGEN RESPONSE EARLY
1661,"HALLMARK ESTROGEN RESPONSE
 EARLY",WFS1,ESTROGEN RESPONSE EARLY
1662,"HALLMARK ESTROGEN RESPONSE
 EARLY",PTGES,ESTROGEN RESPONSE EARLY
1663,"HALLMARK ESTROGEN RESPONSE
 EARLY",WWC1,ESTROGEN RESPONSE EARLY
1664,"HALLMARK ESTROGEN RESPONSE
 EARLY",CCN5,ESTROGEN RESPONSE EARLY
1665,"HALLMARK ESTROGEN RESPONSE
 EARLY",MYC,ESTROGEN RESPONSE EARLY
1666,"HALLMARK ESTROGEN RESPONSE
 EARLY",ITPK1,ESTROGEN RESPONSE EARLY
1667,"HALLMARK ESTROGEN RESPONSE
 EARLY",TMEM164,ESTROGEN RESPONSE EARLY
1668,"HALLMARK ESTROGEN RESPONSE
 EARLY",ARL3,ESTROGEN RESPONSE EARLY
1669,"HALLMARK ESTROGEN RESPONSE
 EARLY",MED13L,ESTROGEN RESPONSE EARLY
1670,"HALLMARK ESTROGEN RESPONSE
 EARLY",SEMA3B,ESTROGEN RESPONSE EARLY
1671,"HALLMARK ESTROGEN RESPONSE
 EARLY",KRT18,ESTROGEN RESPONSE EARLY
1672,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC16A1,ESTROGEN RESPONSE EARLY
1673,"HALLMARK ESTROGEN RESPONSE
 EARLY",TJP3,ESTROGEN RESPONSE EARLY
1674,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC26A2,ESTROGEN RESPONSE EARLY
1675,"HALLMARK ESTROGEN RESPONSE
 EARLY",FCMR,ESTROGEN RESPONSE EARLY
1676,"HALLMARK ESTROGEN RESPONSE
 EARLY",SULT2B1,ESTROGEN RESPONSE EARLY
1677,"HALLMARK ESTROGEN RESPONSE
 EARLY",SNX24,ESTROGEN RESPONSE EARLY
1678,"HALLMARK ESTROGEN RESPONSE
 EARLY",TFAP2C,ESTROGEN RESPONSE EARLY
1679,"HALLMARK ESTROGEN RESPONSE
 EARLY",TTC39A,ESTROGEN RESPONSE EARLY
1680,"HALLMARK ESTROGEN RESPONSE
 EARLY",GJA1,ESTROGEN RESPONSE EARLY
1681,"HALLMARK ESTROGEN RESPONSE
 EARLY",PRSS23,ESTROGEN RESPONSE EARLY
1682,"HALLMARK ESTROGEN RESPONSE
 EARLY",OLFM1,ESTROGEN RESPONSE EARLY
1683,"HALLMARK ESTROGEN RESPONSE
 EARLY",RAPGEFL1,ESTROGEN RESPONSE EARLY
1684,"HALLMARK ESTROGEN RESPONSE
 EARLY",ASB13,ESTROGEN RESPONSE EARLY
1685,"HALLMARK ESTROGEN RESPONSE
 EARLY",TIPARP,ESTROGEN RESPONSE EARLY
1686,"HALLMARK ESTROGEN RESPONSE
 EARLY",ABCA3,ESTROGEN RESPONSE EARLY
1687,"HALLMARK ESTROGEN RESPONSE
 EARLY",FRK,ESTROGEN RESPONSE EARLY
1688,"HALLMARK ESTROGEN RESPONSE
 EARLY",DHRS2,ESTROGEN RESPONSE EARLY
1689,"HALLMARK ESTROGEN RESPONSE
 EARLY",AQP3,ESTROGEN RESPONSE EARLY
1690,"HALLMARK ESTROGEN RESPONSE
 EARLY",KCNK15,ESTROGEN RESPONSE EARLY
1691,"HALLMARK ESTROGEN RESPONSE
 EARLY",TGIF2,ESTROGEN RESPONSE EARLY
1692,"HALLMARK ESTROGEN RESPONSE
 EARLY",FOXC1,ESTROGEN RESPONSE EARLY
1693,"HALLMARK ESTROGEN RESPONSE
 EARLY",ELF3,ESTROGEN RESPONSE EARLY
1694,"HALLMARK ESTROGEN RESPONSE
 EARLY",REEP1,ESTROGEN RESPONSE EARLY
1695,"HALLMARK ESTROGEN RESPONSE
 EARLY",PEX11A,ESTROGEN RESPONSE EARLY
1696,"HALLMARK ESTROGEN RESPONSE
 EARLY",PODXL,ESTROGEN RESPONSE EARLY
1697,"HALLMARK ESTROGEN RESPONSE
 EARLY",KLF4,ESTROGEN RESPONSE EARLY
1698,"HALLMARK ESTROGEN RESPONSE
 EARLY",BAG1,ESTROGEN RESPONSE EARLY
1699,"HALLMARK ESTROGEN RESPONSE
 EARLY",CELSR1,ESTROGEN RESPONSE EARLY
1700,"HALLMARK ESTROGEN RESPONSE
 EARLY",PLAAT3,ESTROGEN RESPONSE EARLY
1701,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC7A5,ESTROGEN RESPONSE EARLY
1702,"HALLMARK ESTROGEN RESPONSE
 EARLY",MPPED2,ESTROGEN RESPONSE EARLY
1703,"HALLMARK ESTROGEN RESPONSE
 EARLY",TIAM1,ESTROGEN RESPONSE EARLY
1704,"HALLMARK ESTROGEN RESPONSE
 EARLY",CLDN7,ESTROGEN RESPONSE EARLY
1705,"HALLMARK ESTROGEN RESPONSE
 EARLY",MYOF,ESTROGEN RESPONSE EARLY
1706,"HALLMARK ESTROGEN RESPONSE
 EARLY",RBBP8,ESTROGEN RESPONSE EARLY
1707,"HALLMARK ESTROGEN RESPONSE
 EARLY",OLFML3,ESTROGEN RESPONSE EARLY
1708,"HALLMARK ESTROGEN RESPONSE
 EARLY",GFRA1,ESTROGEN RESPONSE EARLY
1709,"HALLMARK ESTROGEN RESPONSE
 EARLY",FARP1,ESTROGEN RESPONSE EARLY
1710,"HALLMARK ESTROGEN RESPONSE
 EARLY",SVIL,ESTROGEN RESPONSE EARLY
1711,"HALLMARK ESTROGEN RESPONSE
 EARLY",TGM2,ESTROGEN RESPONSE EARLY
1712,"HALLMARK ESTROGEN RESPONSE
 EARLY",DEPTOR,ESTROGEN RESPONSE EARLY
1713,"HALLMARK ESTROGEN RESPONSE
 EARLY",CYP26B1,ESTROGEN RESPONSE EARLY
1714,"HALLMARK ESTROGEN RESPONSE
 EARLY",PAPSS2,ESTROGEN RESPONSE EARLY
1715,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC1A1,ESTROGEN RESPONSE EARLY
1716,"HALLMARK ESTROGEN RESPONSE
 EARLY",DLC1,ESTROGEN RESPONSE EARLY
1717,"HALLMARK ESTROGEN RESPONSE
 EARLY",JAK2,ESTROGEN RESPONSE EARLY
1718,"HALLMARK ESTROGEN RESPONSE
 EARLY",AFF1,ESTROGEN RESPONSE EARLY
1719,"HALLMARK ESTROGEN RESPONSE
 EARLY",KLK10,ESTROGEN RESPONSE EARLY
1720,"HALLMARK ESTROGEN RESPONSE
 EARLY",P2RY2,ESTROGEN RESPONSE EARLY
1721,"HALLMARK ESTROGEN RESPONSE
 EARLY",BLVRB,ESTROGEN RESPONSE EARLY
1722,"HALLMARK ESTROGEN RESPONSE
 EARLY",CISH,ESTROGEN RESPONSE EARLY
1723,"HALLMARK ESTROGEN RESPONSE
 EARLY",GLA,ESTROGEN RESPONSE EARLY
1724,"HALLMARK ESTROGEN RESPONSE
 EARLY",ADD3,ESTROGEN RESPONSE EARLY
1725,"HALLMARK ESTROGEN RESPONSE
 EARLY",PDLIM3,ESTROGEN RESPONSE EARLY
1726,"HALLMARK ESTROGEN RESPONSE
 EARLY",MINDY1,ESTROGEN RESPONSE EARLY
1727,"HALLMARK ESTROGEN RESPONSE
 EARLY",FOS,ESTROGEN RESPONSE EARLY
1728,"HALLMARK ESTROGEN RESPONSE
 EARLY",KRT8,ESTROGEN RESPONSE EARLY
1729,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC37A1,ESTROGEN RESPONSE EARLY
1730,"HALLMARK ESTROGEN RESPONSE
 EARLY",B4GALT1,ESTROGEN RESPONSE EARLY
1731,"HALLMARK ESTROGEN RESPONSE
 EARLY",CALCR,ESTROGEN RESPONSE EARLY
1732,"HALLMARK ESTROGEN RESPONSE
 EARLY",ESRP2,ESTROGEN RESPONSE EARLY
1733,"HALLMARK ESTROGEN RESPONSE
 EARLY",IGF1R,ESTROGEN RESPONSE EARLY
1734,"HALLMARK ESTROGEN RESPONSE
 EARLY",NBL1,ESTROGEN RESPONSE EARLY
1735,"HALLMARK ESTROGEN RESPONSE
 EARLY",SFN,ESTROGEN RESPONSE EARLY
1736,"HALLMARK ESTROGEN RESPONSE
 EARLY",OPN3,ESTROGEN RESPONSE EARLY
1737,"HALLMARK ESTROGEN RESPONSE
 EARLY",ABHD2,ESTROGEN RESPONSE EARLY
1738,"HALLMARK ESTROGEN RESPONSE
 EARLY",AR,ESTROGEN RESPONSE EARLY
1739,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC39A6,ESTROGEN RESPONSE EARLY
1740,"HALLMARK ESTROGEN RESPONSE
 EARLY",SYT12,ESTROGEN RESPONSE EARLY
1741,"HALLMARK ESTROGEN RESPONSE
 EARLY",CD44,ESTROGEN RESPONSE EARLY
1742,"HALLMARK ESTROGEN RESPONSE
 EARLY",MED24,ESTROGEN RESPONSE EARLY
1743,"HALLMARK ESTROGEN RESPONSE
 EARLY",BCL11B,ESTROGEN RESPONSE EARLY
1744,"HALLMARK ESTROGEN RESPONSE
 EARLY",CANT1,ESTROGEN RESPONSE EARLY
1745,"HALLMARK ESTROGEN RESPONSE
 EARLY",KRT13,ESTROGEN RESPONSE EARLY
1746,"HALLMARK ESTROGEN RESPONSE
 EARLY",KRT15,ESTROGEN RESPONSE EARLY
1747,"HALLMARK ESTROGEN RESPONSE
 EARLY",TOB1,ESTROGEN RESPONSE EARLY
1748,"HALLMARK ESTROGEN RESPONSE
 EARLY",SLC7A2,ESTROGEN RESPONSE EARLY
1749,"HALLMARK ESTROGEN RESPONSE
 EARLY",LAD1,ESTROGEN RESPONSE EARLY
