cell_line,CI.05,CI.95,mean,penetrance,tissue,depmap_id
A673_BONE,0.90359332,1.333293443,1.159752972,1.0,liver,ACH-000052
WM88_SKIN,-3.922012788,-2.525563741,-2.969150623,0.07142857142999999,liver,ACH-000899
UACC62_SKIN,-1.177856175,-0.2356203891,-0.5542866101,0.5,liver,ACH-000425
HS294T_SKIN,-1.6191047180000002,-0.9407005049,-1.197467687,0.6428571429,liver,ACH-000014
EWS502_BONE,-3.5139973810000003,-3.5139973810000003,-3.5139973810000003,0.0,liver,ACH-000279
SH4_SKIN,-2.0783510990000003,-1.597802429,-1.787790736,0.5714285714,lung,ACH-000441
COLO679_SKIN,-3.737145442,-3.737145442,-3.737145442,0.0,lung,ACH-000805
A2058_SKIN,0.17329811469999998,0.6702378249000001,0.4713753175,1.0,lung,ACH-000788
CADOES1_BONE,-1.57508321,-0.6673638968,-0.9685182647,0.6428571429,lung,ACH-000210
SKMEL30_SKIN,-2.747629018,-1.629678671,-1.995873436,0.2857142857,lung,ACH-000810
HT29_LARGE_INTESTINE,-0.4516012316,-0.1215934689,-0.2616836957,1.0,lung,ACH-000552
CJM_SKIN,-2.795860067,-1.507909413,-1.822363794,0.2142857143,lung,ACH-000458
A673_BONE,-1.491004624,-0.12382852789999997,-0.5264600857,0.7142857143000001,lung,ACH-000052
WM88_SKIN,-2.117620051,-1.3654547259999998,-1.642524058,0.5714285714,lung,ACH-000899
UACC62_SKIN,-1.118093376,-0.03374006733,-0.3288252661,0.3571428571,lung,ACH-000425
HS294T_SKIN,-3.539581964,-0.9853850127,-1.455985146,0.2857142857,lung,ACH-000014
EWS502_BONE,-3.5139973810000003,-3.5139973810000003,-3.5139973810000003,0.0,lung,ACH-000279
