feature_id,feature_name,dataset,gene_symbol,entrez_id
C36:2_PC_metabolomics,C36:2 PC,metabolomics,,
C50:2_TAG_metabolomics,C50:2 TAG,metabolomics,,
C56:3_TAG_metabolomics,C56:3 TAG,metabolomics,,
acetylcarnitine_metabolomics,acetylcarnitine,metabolomics,,
acetylcholine_metabolomics,acetylcholine,metabolomics,,
glucuronate_metabolomics,glucuronate,metabolomics,,
serine_metabolomics,serine,metabolomics,,
sucrose_metabolomics,sucrose,metabolomics,,
taurine_metabolomics,taurine,metabolomics,,
BIOCARTA_FEEDER_PATHWAY_ssGSEA,BIOCARTA_FEEDER_PATHWAY,ssGSEA,,
BIOCARTA_KREB_PATHWAY_ssGSEA,BIOCARTA_KREB_PATHWAY,ssGSEA,,
BIOCARTA_PROTEASOME_PATHWAY_ssGSEA,BIOCARTA_PROTEASOME_PATHWAY,ssGSEA,,
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS_ssGSEA,ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS,ssGSEA,,
ST_ERK1_ERK2_MAPK_PATHWAY_ssGSEA,ST_ERK1_ERK2_MAPK_PATHWAY,ssGSEA,,
ST_GA12_PATHWAY_ssGSEA,ST_GA12_PATHWAY,ssGSEA,,
ST_G_ALPHA_S_PATHWAY_ssGSEA,ST_G_ALPHA_S_PATHWAY,ssGSEA,,
ST_INTERFERON_GAMMA_PATHWAY_ssGSEA,ST_INTERFERON_GAMMA_PATHWAY,ssGSEA,,
ST_TUMOR_NECROSIS_FACTOR_PATHWAY_ssGSEA,ST_TUMOR_NECROSIS_FACTOR_PATHWAY,ssGSEA,,
ST_WNT_CA2_CYCLIC_GMP_PATHWAY_ssGSEA,ST_WNT_CA2_CYCLIC_GMP_PATHWAY,ssGSEA,,
AMY1A_SOX10_Fusion,AMY1A_SOX10,Fusion,,
ANOS1_HNF1B_Fusion,ANOS1_HNF1B,Fusion,,
HNF1B_MAP4K4_Fusion,HNF1B_MAP4K4,Fusion,,
MED1_SOX10_Fusion,MED1_SOX10,Fusion,,
MED1_TNS2_Fusion,MED1_TNS2,Fusion,,
MIR3613_KDM7A_Fusion,MIR3613_KDM7A,Fusion,,
NRAS_NRAS_Fusion,NRAS_NRAS,Fusion,,
PSG7_MAP4K4_Fusion,PSG7_MAP4K4,Fusion,,
PSG7_TRIL_Fusion,PSG7_TRIL,Fusion,,
SOX10_MAP4K4_Fusion,SOX10_MAP4K4,Fusion,,
SWI5_MIR3613_Fusion,SWI5_MIR3613,Fusion,,
TNS2_KDM7A_Fusion,TNS2_KDM7A,Fusion,,
TNS2_MED1_Fusion,TNS2_MED1,Fusion,,
TRIL_AMY1A_Fusion,TRIL_AMY1A,Fusion,,
TRIL_F8A1_Fusion,TRIL_F8A1,Fusion,,
TRIL_MIR3613_Fusion,TRIL_MIR3613,Fusion,,
TRIL_NRAS_Fusion,TRIL_NRAS,Fusion,,
UNC93B1_AMY1A_Fusion,UNC93B1_AMY1A,Fusion,,
UNC93B1_NRAS_Fusion,UNC93B1_NRAS,Fusion,,
